"","name","phone","is_closed","rating","distance","review_count","price","city","state","zipcode","latitude","longitude","price_2","is_open"
"1","Burger & Lobster","+16468337532",FALSE,4,3860.92323061169,3915,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"2","Joe's Shanghai","+12122338888",FALSE,4,1066.50854988104,4716,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"3","Upstate","+16467915400",FALSE,4.5,2411.91871787036,1467,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"4","Amélie","+12125332962",FALSE,4.5,3036.04935577211,1844,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"5","Tasty Hand-Pulled Noodles","+12127911817",FALSE,4,1020.19598802782,1284,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"6","Jacob's Pickles","+12124705566",FALSE,4,9166.96473780151,2644,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"7","Jack's Wife Freda","+12125108550",FALSE,4,1876.74644543863,1357,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"8","Soco","+17187831936",FALSE,4,2819.75108249311,1615,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"9","Root & Bone","+16466827080",FALSE,4,2129.53785973032,1202,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"10","Jane","+12122547000",FALSE,4,2489.08915836721,2762,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"11","Ippudo East Village","+12123880088",FALSE,4,2855.55521950748,9041,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"12","Thursday Kitchen","+16467558088",FALSE,4.5,2613.7820905318,683,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"13","SaltBrick Tavern","+13474179112",FALSE,4.5,1397.00223746576,19,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"14","Brooklyn Label","+13476894072",FALSE,5,4227.68999709189,6,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"15","Thai Villa","+12128029999",FALSE,4.5,3744.57039979745,998,"$$","New York","NY","10011",40.74016,-73.993372,2,1
"16","Pies-n-Thighs","+13475296090",FALSE,4,2843.26969046872,2396,"$$","New York","NY","10011",40.74016,-73.993372,2,1
